ROI_Num_Power2013,X,Y,Z,Participation_Coefficient,Community_Density,Implicated_in_Dyslexia,In_Maisog2008,In_Richlan2009,In_Paulesu2014
123,17,-80,-34,1.95,0.0,0,0,0,0
124,28,-77,-32,0.92,0.0,0,0,0,0
125,35,-67,-34,3.4,0.0,0,0,0,0
126,-44,12,-34,0.24,10.5,0,0,0,0
127,52,7,-30,0.61,11.5,0,0,0,0
128,46,16,-30,0.23,12.1,0,0,0,0
129,-53,3,-27,0.64,9.2,0,0,0,0
130,-21,-22,-20,0.0,8.0,0,0,0,0
131,4,-48,51,0.61,13.1,0,0,0,0
132,65,-24,-19,0.0,8.7,0,0,0,0
133,-68,-23,-16,0.0,7.3,0,0,0,0
134,-58,-26,-15,0.0,7.4,0,0,0,0
135,-46,31,-13,1.72,10.8,0,0,0,0
136,17,-28,-17,0.0,8.5,0,0,0,0
137,-49,-42,1,3.36,12.7,0,0,0,0
138,-10,11,67,4.86,14.7,0,0,0,0
139,49,35,-12,3.14,14.0,0,0,0,0
140,27,16,-17,0.47,10.5,0,0,0,0
141,-31,19,-19,0.0,12.7,0,0,0,0
142,51,-29,-4,4.5,12.0,1,1,0,0
143,40,18,40,4.79,9.9,0,0,0,0
144,49,-3,-38,0.4,7.4,0,0,0,0
145,34,38,-12,0.81,10.6,0,0,0,0
146,-18,63,-9,0.0,8.8,0,0,0,0
147,27,-97,-13,0.0,7.8,0,0,0,0
148,-34,3,4,5.04,9.8,0,0,0,0
149,36,10,1,4.7,6.0,0,0,0,0
150,-35,20,0,5.46,16.4,1,1,1,0
151,36,22,3,5.38,11.7,1,1,0,0
152,37,32,-2,3.71,15.4,0,0,0,0
153,-1,15,44,4.08,9.4,0,0,0,0
154,34,16,-8,4.08,15.2,0,0,0,0
155,-28,52,21,3.5,10.8,0,0,0,0
156,31,33,26,3.63,14.4,1,0,1,0
157,31,56,14,3.99,13.7,0,0,0,0
158,26,50,27,3.5,9.6,0,0,0,0
159,-11,26,25,4.46,10.9,0,0,0,0
160,-5,18,34,4.06,8.9,0,0,0,0
161,0,30,27,4.88,10.3,0,0,0,0
162,5,23,37,4.48,13.3,1,0,0,1
163,10,22,27,3.8,11.8,0,0,0,0
164,6,-24,0,0.99,0.0,0,0,0,0
165,-10,-18,7,2.03,0.0,1,1,0,0
166,12,-17,8,3.16,0.0,1,1,0,0
167,-5,-28,-4,0.0,0.0,0,0,0,0
168,-22,7,-5,0.25,0.0,0,0,0,0
169,-15,4,8,3.2,0.0,1,0,1,1
170,31,-14,2,4.57,12.5,0,0,0,0
171,23,10,1,3.39,0.0,0,0,0,0
172,29,1,4,4.19,0.0,0,0,0,0
173,-31,-11,0,2.67,0.0,0,0,0,0
174,15,5,7,3.61,0.0,0,0,0,0
175,9,-4,6,4.09,0.0,0,0,0,0
176,-2,-13,12,3.51,0.0,1,0,1,0
177,11,-39,50,4.93,15.3,0,0,0,0
178,48,22,10,3.92,14.7,0,0,0,0
179,53,33,1,3.44,15.1,0,0,0,0
180,-49,25,-1,5.07,12.9,1,0,1,0
